Full Association Rules (all consequents)
                                                                                                  antecedents                                                                                              consequents   support  confidence      lift
515                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                         (total sulfur dioxide_total sulfur dioxide_high)  0.238274    0.687726  2.055464
516                                                        (total sulfur dioxide_total sulfur dioxide_medium)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.106942    0.308664  0.890892
517                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.106942    0.308664  0.890892
518                                                                                    (density_density_high)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.118199    0.348708  1.006471
519                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                                                   (density_density_high)  0.118199    0.341155  1.006471
520                                                                                     (density_density_low)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.118824    0.357815  1.032756
521                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                                                    (density_density_low)  0.118824    0.342960  1.032756
522                                                                                  (density_density_medium)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.109443    0.332700  0.960265
523                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                                                 (density_density_medium)  0.109443    0.315884  0.960265
524                                                                                              (pH_pH_high)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.141338    0.405745  1.171095
525                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                                                             (pH_pH_high)  0.141338    0.407942  1.171095
526                                                                                               (pH_pH_low)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.102564    0.312977  0.903340
527                                                                                            (pH_pH_medium)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.102564    0.316602  0.913803
528                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                                               (sulphates_sulphates_high)  0.137586    0.397112  1.140003
529                                                                                (sulphates_sulphates_high)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.137586    0.394973  1.140003
530                                                                              (sulphates_sulphates_medium)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.113821    0.323843  0.934703
531                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                                             (sulphates_sulphates_medium)  0.113821    0.328520  0.934703
532                                                                                    (alcohol_alcohol_high)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.108818    0.311828  0.900023
533                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                                                   (alcohol_alcohol_high)  0.108818    0.314079  0.900023
534                                                                                     (alcohol_alcohol_low)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.110694    0.355422  1.025847
535                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                                                    (alcohol_alcohol_low)  0.110694    0.319495  1.025847
536                                                                                  (alcohol_alcohol_medium)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.126954    0.373849  1.079033
537                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                                                 (alcohol_alcohol_medium)  0.126954    0.366426  1.079033
538                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                                                              (quality_5)  0.165103    0.476534  1.118911
539                                                                                               (quality_5)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.165103    0.387665  1.118911
540                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                                                              (quality_6)  0.139462    0.402527  1.008841
541                                                                                               (quality_6)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.139462    0.349530  1.008841
542                                                           (total sulfur dioxide_total sulfur dioxide_low)                                                            (free sulfur dioxide_free sulfur dioxide_low)  0.253909    0.796078  2.420018
543                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                          (total sulfur dioxide_total sulfur dioxide_low)  0.253909    0.771863  2.420018
544                                                                                    (density_density_high)                                                            (free sulfur dioxide_free sulfur dioxide_low)  0.120075    0.354244  1.076873
545                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                                                   (density_density_high)  0.120075    0.365019  1.076873
546                                                                                     (density_density_low)                                                            (free sulfur dioxide_free sulfur dioxide_low)  0.100688    0.303202  0.921710
547                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                                                    (density_density_low)  0.100688    0.306084  0.921710
548                                                                                  (density_density_medium)                                                            (free sulfur dioxide_free sulfur dioxide_low)  0.108193    0.328897  0.999823
549                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                                                 (density_density_medium)  0.108193    0.328897  0.999823
550                                                                                               (pH_pH_low)                                                            (free sulfur dioxide_free sulfur dioxide_low)  0.127580    0.389313  1.183482
551                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                                                              (pH_pH_low)  0.127580    0.387833  1.183482
552                                                                                            (pH_pH_medium)                                                            (free sulfur dioxide_free sulfur dioxide_low)  0.114447    0.353282  1.073950
553                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                                                           (pH_pH_medium)  0.114447    0.347909  1.073950
554                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                                               (sulphates_sulphates_high)  0.105691    0.321293  0.922347
555                                                                                (sulphates_sulphates_high)                                                            (free sulfur dioxide_free sulfur dioxide_low)  0.105691    0.303411  0.922347
556                                                                                 (sulphates_sulphates_low)                                                            (free sulfur dioxide_free sulfur dioxide_low)  0.106316    0.354167  1.076640
557                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                                                (sulphates_sulphates_low)  0.106316    0.323194  1.076640
558                                                                              (sulphates_sulphates_medium)                                                            (free sulfur dioxide_free sulfur dioxide_low)  0.116948    0.332740  1.011505
559                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                                             (sulphates_sulphates_medium)  0.116948    0.355513  1.011505
560                                                                                    (alcohol_alcohol_high)                                                            (free sulfur dioxide_free sulfur dioxide_low)  0.132583    0.379928  1.154953
561                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                                                   (alcohol_alcohol_high)  0.132583    0.403042  1.154953
562                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                                                 (alcohol_alcohol_medium)  0.100063    0.304183  0.895742
563                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                                                              (quality_5)  0.123827    0.376426  0.883855
564                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                                                              (quality_6)  0.130081    0.395437  0.991072
565                                                                                               (quality_6)                                                            (free sulfur dioxide_free sulfur dioxide_low)  0.130081    0.326019  0.991072
566                                                        (total sulfur dioxide_total sulfur dioxide_medium)                                                         (free sulfur dioxide_free sulfur dioxide_medium)  0.174484    0.503610  1.551585
567                                                          (free sulfur dioxide_free sulfur dioxide_medium)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.174484    0.537572  1.551585
568                                                          (free sulfur dioxide_free sulfur dioxide_medium)                                                                                   (density_density_high)  0.100688    0.310212  0.915182
569                                                                                     (density_density_low)                                                         (free sulfur dioxide_free sulfur dioxide_medium)  0.112570    0.338983  1.044381
570                                                          (free sulfur dioxide_free sulfur dioxide_medium)                                                                                    (density_density_low)  0.112570    0.346821  1.044381
571                                                                                  (density_density_medium)                                                         (free sulfur dioxide_free sulfur dioxide_medium)  0.111320    0.338403  1.042594
572                                                          (free sulfur dioxide_free sulfur dioxide_medium)                                                                                 (density_density_medium)  0.111320    0.342967  1.042594
573                                                          (free sulfur dioxide_free sulfur dioxide_medium)                                                                                             (pH_pH_high)  0.120075    0.369942  1.062006
574                                                                                              (pH_pH_high)                                                         (free sulfur dioxide_free sulfur dioxide_medium)  0.120075    0.344704  1.062006
575                                                                                            (pH_pH_medium)                                                         (free sulfur dioxide_free sulfur dioxide_medium)  0.106942    0.330116  1.017062
576                                                          (free sulfur dioxide_free sulfur dioxide_medium)                                                                                           (pH_pH_medium)  0.106942    0.329480  1.017062
577                                                          (free sulfur dioxide_free sulfur dioxide_medium)                                                                               (sulphates_sulphates_high)  0.105066    0.323699  0.929256
578                                                                                (sulphates_sulphates_high)                                                         (free sulfur dioxide_free sulfur dioxide_medium)  0.105066    0.301616  0.929256
579                                                                              (sulphates_sulphates_medium)                                                         (free sulfur dioxide_free sulfur dioxide_medium)  0.120700    0.343416  1.058040
580                                                          (free sulfur dioxide_free sulfur dioxide_medium)                                                                             (sulphates_sulphates_medium)  0.120700    0.371869  1.058040
581                                                                                    (alcohol_alcohol_high)                                                         (free sulfur dioxide_free sulfur dioxide_medium)  0.107567    0.308244  0.949676
582                                                          (free sulfur dioxide_free sulfur dioxide_medium)                                                                                   (alcohol_alcohol_high)  0.107567    0.331407  0.949676
583                                                                                     (alcohol_alcohol_low)                                                         (free sulfur dioxide_free sulfur dioxide_medium)  0.104440    0.335341  1.033162
584                                                          (free sulfur dioxide_free sulfur dioxide_medium)                                                                                    (alcohol_alcohol_low)  0.104440    0.321773  1.033162
585                                                                                  (alcohol_alcohol_medium)                                                         (free sulfur dioxide_free sulfur dioxide_medium)  0.112570    0.331492  1.021301
586                                                          (free sulfur dioxide_free sulfur dioxide_medium)                                                                                 (alcohol_alcohol_medium)  0.112570    0.346821  1.021301
587                                                          (free sulfur dioxide_free sulfur dioxide_medium)                                                                                              (quality_5)  0.136961    0.421965  0.990782
588                                                                                               (quality_5)                                                         (free sulfur dioxide_free sulfur dioxide_medium)  0.136961    0.321586  0.990782
589                                                          (free sulfur dioxide_free sulfur dioxide_medium)                                                                                              (quality_6)  0.129456    0.398844  0.999610
590                                                                                               (quality_6)                                                         (free sulfur dioxide_free sulfur dioxide_medium)  0.129456    0.324451  0.999610
591                                                          (total sulfur dioxide_total sulfur dioxide_high)                                                                                   (density_density_high)  0.126954    0.379439  1.119416
592                                                                                    (density_density_high)                                                         (total sulfur dioxide_total sulfur dioxide_high)  0.126954    0.374539  1.119416
593                                                          (total sulfur dioxide_total sulfur dioxide_high)                                                                                 (density_density_medium)  0.128205    0.383178  1.164831
594                                                                                  (density_density_medium)                                                         (total sulfur dioxide_total sulfur dioxide_high)  0.128205    0.389734  1.164831
595                                                          (total sulfur dioxide_total sulfur dioxide_high)                                                                                             (pH_pH_high)  0.108193    0.323364  0.928294
596                                                                                              (pH_pH_high)                                                         (total sulfur dioxide_total sulfur dioxide_high)  0.108193    0.310592  0.928294
597                                                          (total sulfur dioxide_total sulfur dioxide_high)                                                                                              (pH_pH_low)  0.113196    0.338318  1.032386
598                                                                                               (pH_pH_low)                                                         (total sulfur dioxide_total sulfur dioxide_high)  0.113196    0.345420  1.032386
599                                                          (total sulfur dioxide_total sulfur dioxide_high)                                                                                           (pH_pH_medium)  0.113196    0.338318  1.044344
600                                                                                            (pH_pH_medium)                                                         (total sulfur dioxide_total sulfur dioxide_high)  0.113196    0.349421  1.044344
601                                                          (total sulfur dioxide_total sulfur dioxide_high)                                                                               (sulphates_sulphates_high)  0.115072    0.343925  0.987319
602                                                                                (sulphates_sulphates_high)                                                         (total sulfur dioxide_total sulfur dioxide_high)  0.115072    0.330341  0.987319
603                                                          (total sulfur dioxide_total sulfur dioxide_high)                                                                                (sulphates_sulphates_low)  0.105066    0.314019  1.046075
604                                                                                 (sulphates_sulphates_low)                                                         (total sulfur dioxide_total sulfur dioxide_high)  0.105066    0.350000  1.046075
605                                                          (total sulfur dioxide_total sulfur dioxide_high)                                                                             (sulphates_sulphates_medium)  0.114447    0.342056  0.973216
606                                                                              (sulphates_sulphates_medium)                                                         (total sulfur dioxide_total sulfur dioxide_high)  0.114447    0.325623  0.973216
607                                                          (total sulfur dioxide_total sulfur dioxide_high)                                                                                    (alcohol_alcohol_low)  0.142589    0.426168  1.368359
608                                                                                     (alcohol_alcohol_low)                                                         (total sulfur dioxide_total sulfur dioxide_high)  0.142589    0.457831  1.368359
609                                                                                  (alcohol_alcohol_medium)                                                         (total sulfur dioxide_total sulfur dioxide_high)  0.118824    0.349908  1.045800
610                                                          (total sulfur dioxide_total sulfur dioxide_high)                                                                                 (alcohol_alcohol_medium)  0.118824    0.355140  1.045800
611                                                          (total sulfur dioxide_total sulfur dioxide_high)                                                                                              (quality_5)  0.198249    0.592523  1.391255
612                                                                                               (quality_5)                                                         (total sulfur dioxide_total sulfur dioxide_high)  0.198249    0.465492  1.391255
613                                                          (total sulfur dioxide_total sulfur dioxide_high)                                                                                              (quality_6)  0.107567    0.321495  0.805754
614                                                                                     (density_density_low)                                                          (total sulfur dioxide_total sulfur dioxide_low)  0.125704    0.378531  1.186806
615                                                           (total sulfur dioxide_total sulfur dioxide_low)                                                                                    (density_density_low)  0.125704    0.394118  1.186806
616                                                                                               (pH_pH_low)                                                          (total sulfur dioxide_total sulfur dioxide_low)  0.113196    0.345420  1.082993
617                                                           (total sulfur dioxide_total sulfur dioxide_low)                                                                                              (pH_pH_low)  0.113196    0.354902  1.082993
618                                                                                            (pH_pH_medium)                                                          (total sulfur dioxide_total sulfur dioxide_low)  0.108818    0.335907  1.053168
619                                                           (total sulfur dioxide_total sulfur dioxide_low)                                                                                           (pH_pH_medium)  0.108818    0.341176  1.053168
620                                                           (total sulfur dioxide_total sulfur dioxide_low)                                                                               (sulphates_sulphates_high)  0.112570    0.352941  1.013201
621                                                                                (sulphates_sulphates_high)                                                          (total sulfur dioxide_total sulfur dioxide_low)  0.112570    0.323160  1.013201
622                                                                              (sulphates_sulphates_medium)                                                          (total sulfur dioxide_total sulfur dioxide_low)  0.108818    0.309609  0.970714
623                                                           (total sulfur dioxide_total sulfur dioxide_low)                                                                             (sulphates_sulphates_medium)  0.108818    0.341176  0.970714
624                                                                                    (alcohol_alcohol_high)                                                          (total sulfur dioxide_total sulfur dioxide_low)  0.152595    0.437276  1.370989
625                                                           (total sulfur dioxide_total sulfur dioxide_low)                                                                                   (alcohol_alcohol_high)  0.152595    0.478431  1.370989
626                                                           (total sulfur dioxide_total sulfur dioxide_low)                                                                                              (quality_5)  0.105066    0.329412  0.773465
627                                                           (total sulfur dioxide_total sulfur dioxide_low)                                                                                              (quality_6)  0.128205    0.401961  1.007422
628                                                                                               (quality_6)                                                          (total sulfur dioxide_total sulfur dioxide_low)  0.128205    0.321317  1.007422
629                                                        (total sulfur dioxide_total sulfur dioxide_medium)                                                                                   (density_density_high)  0.114447    0.330325  0.974519
630                                                                                    (density_density_high)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.114447    0.337638  0.974519
631                                                                                     (density_density_low)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.126954    0.382298  1.103418
632                                                        (total sulfur dioxide_total sulfur dioxide_medium)                                                                                    (density_density_low)  0.126954    0.366426  1.103418
633                                                        (total sulfur dioxide_total sulfur dioxide_medium)                                                                                 (density_density_medium)  0.105066    0.303249  0.921854
634                                                                                  (density_density_medium)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.105066    0.319392  0.921854
635                                                        (total sulfur dioxide_total sulfur dioxide_medium)                                                                                             (pH_pH_high)  0.143215    0.413357  1.186640
636                                                                                              (pH_pH_high)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.143215    0.411131  1.186640
637                                                                                               (pH_pH_low)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.101313    0.309160  0.892324
638                                                                                            (pH_pH_medium)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.101939    0.314672  0.908231
639                                                        (total sulfur dioxide_total sulfur dioxide_medium)                                                                               (sulphates_sulphates_high)  0.120700    0.348375  1.000094
640                                                                                (sulphates_sulphates_high)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.120700    0.346499  1.000094
641                                                        (total sulfur dioxide_total sulfur dioxide_medium)                                                                             (sulphates_sulphates_medium)  0.128205    0.370036  1.052825
642                                                                              (sulphates_sulphates_medium)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.128205    0.364769  1.052825
643                                                        (total sulfur dioxide_total sulfur dioxide_medium)                                                                                   (alcohol_alcohol_high)  0.123202    0.355596  1.018992
644                                                                                    (alcohol_alcohol_high)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.123202    0.353047  1.018992
645                                                                                  (alcohol_alcohol_medium)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.130707    0.384899  1.110926
646                                                        (total sulfur dioxide_total sulfur dioxide_medium)                                                                                 (alcohol_alcohol_medium)  0.130707    0.377256  1.110926
647                                                        (total sulfur dioxide_total sulfur dioxide_medium)                                                                                              (quality_5)  0.122577    0.353791  0.830707
648                                                        (total sulfur dioxide_total sulfur dioxide_medium)                                                                                              (quality_6)  0.163227    0.471119  1.180752
649                                                                                               (quality_6)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.163227    0.409091  1.180752
650                                                                                    (density_density_high)                                                                                              (pH_pH_low)  0.161976    0.477860  1.458202
651                                                                                               (pH_pH_low)                                                                                   (density_density_high)  0.161976    0.494275  1.458202
652                                                                                    (density_density_high)                                                                               (sulphates_sulphates_high)  0.143840    0.424354  1.218209
653                                                                                (sulphates_sulphates_high)                                                                                   (density_density_high)  0.143840    0.412926  1.218209
654                                                                                    (density_density_high)                                                                             (sulphates_sulphates_medium)  0.115072    0.339483  0.965897
655                                                                              (sulphates_sulphates_medium)                                                                                   (density_density_high)  0.115072    0.327402  0.965897
656                                                                                    (density_density_high)                                                                                    (alcohol_alcohol_low)  0.146967    0.433579  1.392155
657                                                                                     (alcohol_alcohol_low)                                                                                   (density_density_high)  0.146967    0.471888  1.392155
658                                                                                  (alcohol_alcohol_medium)                                                                                   (density_density_high)  0.135084    0.397790  1.173554
659                                                                                    (density_density_high)                                                                                 (alcohol_alcohol_medium)  0.135084    0.398524  1.173554
660                                                                                    (density_density_high)                                                                                              (quality_5)  0.166354    0.490775  1.152348
661                                                                                               (quality_5)                                                                                   (density_density_high)  0.166354    0.390602  1.152348
662                                                                                    (density_density_high)                                                                                              (quality_6)  0.128831    0.380074  0.952567
663                                                                                               (quality_6)                                                                                   (density_density_high)  0.128831    0.322884  0.952567
664                                                                                     (density_density_low)                                                                                             (pH_pH_high)  0.154472    0.465160  1.335352
665                                                                                              (pH_pH_high)                                                                                    (density_density_low)  0.154472    0.443447  1.335352
666                                                                                     (density_density_low)                                                                                           (pH_pH_medium)  0.111320    0.335217  1.034771
667                                                                                            (pH_pH_medium)                                                                                    (density_density_low)  0.111320    0.343629  1.034771
668                                                                                     (density_density_low)                                                                               (sulphates_sulphates_high)  0.104440    0.314501  0.902849
669                                                                                     (density_density_low)                                                                                (sulphates_sulphates_low)  0.119450    0.359699  1.198246
670                                                                                 (sulphates_sulphates_low)                                                                                    (density_density_low)  0.119450    0.397917  1.198246
671                                                                                     (density_density_low)                                                                             (sulphates_sulphates_medium)  0.108193    0.325800  0.926966
672                                                                              (sulphates_sulphates_medium)                                                                                    (density_density_low)  0.108193    0.307829  0.926966
673                                                                                     (density_density_low)                                                                                   (alcohol_alcohol_high)  0.215760    0.649718  1.861825
674                                                                                    (alcohol_alcohol_high)                                                                                    (density_density_low)  0.215760    0.618280  1.861825
675                                                                                     (density_density_low)                                                                                              (quality_6)  0.154472    0.465160  1.165817
676                                                                                               (quality_6)                                                                                    (density_density_low)  0.154472    0.387147  1.165817
677                                                                                  (density_density_medium)                                                                                             (pH_pH_high)  0.110069    0.334601  0.960550
678                                                                                              (pH_pH_high)                                                                                 (density_density_medium)  0.110069    0.315978  0.960550
679                                                                                  (density_density_medium)                                                                                           (pH_pH_medium)  0.119450    0.363118  1.120899
680                                                                                            (pH_pH_medium)                                                                                 (density_density_medium)  0.119450    0.368726  1.120899
681                                                                                  (density_density_medium)                                                                               (sulphates_sulphates_high)  0.100063    0.304183  0.873228
682                                                                                 (sulphates_sulphates_low)                                                                                 (density_density_medium)  0.100688    0.335417  1.019641
683                                                                                  (density_density_medium)                                                                                (sulphates_sulphates_low)  0.100688    0.306084  1.019641
684                                                                                  (density_density_medium)                                                                             (sulphates_sulphates_medium)  0.128205    0.389734  1.108869
685                                                                              (sulphates_sulphates_medium)                                                                                 (density_density_medium)  0.128205    0.364769  1.108869
686                                                                                     (alcohol_alcohol_low)                                                                                 (density_density_medium)  0.129456    0.415663  1.263583
687                                                                                  (density_density_medium)                                                                                    (alcohol_alcohol_low)  0.129456    0.393536  1.263583
688                                                                                  (alcohol_alcohol_medium)                                                                                 (density_density_medium)  0.123202    0.362799  1.102882
689                                                                                  (density_density_medium)                                                                                 (alcohol_alcohol_medium)  0.123202    0.374525  1.102882
690                                                                                  (density_density_medium)                                                                                              (quality_5)  0.168230    0.511407  1.200792
691                                                                                               (quality_5)                                                                                 (density_density_medium)  0.168230    0.395007  1.200792
692                                                                                  (density_density_medium)                                                                                              (quality_6)  0.115697    0.351711  0.881483
693                                                                                              (pH_pH_high)                                                                               (sulphates_sulphates_high)  0.107567    0.308797  0.886475
694                                                                                (sulphates_sulphates_high)                                                                                             (pH_pH_high)  0.107567    0.308797  0.886475
695                                                                              (sulphates_sulphates_medium)                                                                                             (pH_pH_high)  0.145091    0.412811  1.185073
696                                                                                              (pH_pH_high)                                                                             (sulphates_sulphates_medium)  0.145091    0.416517  1.185073
697                                                                                    (alcohol_alcohol_high)                                                                                             (pH_pH_high)  0.144465    0.413978  1.188423
